val	count
55.37	6
58.51	11
60.44	12
60.15	8
59.26	3
58.9	5
56.47	5
53.16	5
44.13	6
45.57	7
45.77	15
45.05	13
44.54	5
50.91	3
50.99	3
47.71	3
53.82	2
57.97	6
66.94	1
59.82	2
58.35	6
57.11	8
57.45	11
50.13	5
60.37	7
60.13	5
39.38	3
42.06	14
39.16	6
39.01	9
43.34	6
42.89	11
56.76	10
57.89	5
59.39	10
45.72	5
50.32	3
38.44	6
35.45	3
63.75	2
45.36	7
54.2	6
54.41	4
62.13	2
52.23	4
66.31	1
59.73	13
63.99	3
59.2	9
47.29	3
50.39	1
40.75	11
29.44	1
26.2	1
28.02	1
30.26	4
35.16	3
35.51	4
47.09	6
44.33	15
43.7	6
54.63	2
53.56	3
53.61	5
51.01	3
45.64	6
39.42	3
38.09	3
31.06	4
32.49	3
34.68	3
37.41	6
33.48	6
30.42	3
61.37	2
62.45	3
62.04	6
44.96	7
40.54	8
45.61	4
59.41	6
58.05	5
52.58	4
55.22	8
57.08	8
42.82	22
65.89	2
64.91	3
48.96	3
49.62	3
49.1	1
61.41	1
61.88	1
47.52	6
63.28	1
59.56	14
58.27	7
55.59	6
39.06	10
39.31	10
27.12	3
26.48	4
26.37	3
26.49	2
26.88	3
27.84	2
29.11	1
35.65	3
31.71	3
35.49	5
35.55	9
36.69	8
36.16	2
36.63	4
38.29	8
55.44	1
50.15	9
49.58	3
51.41	1
55.17	6
46.56	4
54.73	14
45.7	9
39.86	14
39.59	2
41.22	1
38.84	3
39.2	9
37.24	6
31.17	2
32.77	4
36.37	1
31.29	1
33.64	6
31.52	6
28.31	1
33.1	4
37.29	2
31.65	3
31.6	2
31.48	4
44.99	9
47.34	1
57.75	15
63.55	3
61.69	5
38.49	10
40.82	6
52.15	2
60.32	15
57.5	6
59.18	9
45.13	8
45.19	5
57.41	16
37.87	5
51.76	5
66.09	2
63.32	3
59.63	10
38.28	6
38.46	12
41.05	7
38.93	9
31.7	2
33.97	10
31.13	8
32.93	2
34.35	3
35.05	2
34.18	7
34.99	6
35.7	4
35.64	2
36.54	3
39.82	6
46.63	5
38.8	8
40.44	4
42.93	9
43.45	6
44.55	17
43.59	10
63.09	5
41.08	6
45.49	4
70.0	1
56.27	7
71.43	1
45.97	8
46.98	5
56.56	8
58.21	7
50.67	1
56.49	9
42.83	8
44.8	8
63.69	5
47.39	1
34.78	8
44.1	14
57.62	7
58.04	6
57.76	10
26.57	4
28.44	4
31.88	4
34.27	5
35.85	3
36.97	6
56.79	10
41.97	7
68.61	1
30.71	4
32.1	7
37.75	2
47.08	4
38.69	12
54.03	3
39.84	8
32.75	3
35.71	3
31.11	6
33.04	1
32.71	3
37.36	5
35.08	7
29.61	3
33.84	3
31.8	4
27.82	2
32.94	3
35.56	6
40.11	8
32.98	4
32.69	2
39.71	8
36.81	2
48.22	6
47.67	2
49.52	4
55.86	9
44.95	8
31.46	5
60.82	11
48.17	6
37.82	3
38.33	5
39.54	6
27.48	3
34.55	6
36.73	22
44.16	7
52.25	1
43.8	4
39.73	4
33.87	3
36.23	2
34.89	8
33.28	8
32.9	2
31.15	5
48.28	3
33.9	2
31.76	3
45.17	5
28.12	1
30.97	5
52.36	3
55.9	5
63.16	4
27.03	5
25.84	2
64.61	4
64.71	3
44.84	6
44.78	5
39.75	9
31.93	3
48.47	1
60.97	4
61.78	3
62.44	1
47.38	7
46.43	5
48.09	3
45.34	4
40.05	3
57.79	9
56.29	8
55.03	2
43.96	8
51.48	6
47.76	3
48.79	3
43.67	12
38.73	3
39.41	5
39.02	11
38.81	11
41.85	7
36.12	8
35.99	5
35.78	9
35.77	8
35.36	4
30.2	1
30.1	3
30.52	3
29.58	2
32.42	3
32.21	1
40.6	1
31.14	1
31.55	3
31.63	3
